1,"NC 52d18425427aa3d16121979041eea54c, 78d6a0d784bb63f98bf73f9e37f2b013",5598
2,"AZ 0d08512db8d957d03b7e289f26ede0b8, 6a3a08ffb04be2a936896f71491d6b38",4266
3,"IA 79bfde2adfa0545c913c15b489aa8bbb, 33863b813e10cd64b29871e0ce5e6f83",16488
4,"TX da4ce9ab5ee347d42268352ea3aee2f6, 05b9d0d18b0c820f5a05dbe7150bc3ad",2970
5,"MT 8d58307cb568bb89c5acf88adbd169b1, 7ba273ffb5a2bfd086475c94295c7400",16750
6,"ID 57fd821a19801aa6ea9185abb1b51a8f, b336f7ade77af975e3a5db5537bc782d",21763
7,"KS 8e7224c95baf85fc9050b748e84d7ae6, d649d90440d38b169e284b72c8ea8de0",270
8,"KS 1c114a68d8e532e379c175ca836cff31, 7e76e42654d40c5539ad3d2497805cf7",8028
9,"WI a8e46c61d1d512f20ca8ef6c1dc3df94, 6cc43892712e4ad7ab14feb90e0e2d03",9106
10,"MS 9c8175691081397b914d1dff51f28768, bd016d0283ef32f1fc8bed9987c732a3",19043
11,"MO daeadcf731183ec8bbaf4511d6d5fcce, aa86586a303d2f3a1803ee6aec1d210c",24405
12,"AR d7e3e91b60a3188dc1389bd1827d0816, 0c363dcbb5be4bd65b956afc48a80680",12424
13,"IA 3b429561c346d8f66586d7e47de6702c, 611c15c70a024435176ab5925e82702b",22191
14,"NY d591c88e877162f42574ef4eec5cc817, a8e7254ffcea30f7be0f4f029cc349e8",26351
15,"FL bf99214bf4a243613a6ba545c3249dec, 13b62c88be1fe8a8dcc572dc45f258c0",7120
16,"OK 73a63703d1b5dc06acedc3b23808bb46, c690887032aef697a108b0ce80983231",19762
17,"MN 16a15b2a90fe6ea854867f9f6107afeb, 5a7dfcc0022365edae22785614172d77",11309
18,"NC c0d07333a5fa1c21e622732cb4f8d1de, 5a01140f480b1d0868017dfe29f6dcc7",15419
19,"TX c59c1cf544f38f34713f795b7e76485c, ff71fd1ff2a2ad16b3ad9a31da2523d1",21264
